model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
LogisticRegression,0.9744662305342007,0.03962919299006756,1.0,0.0,0.9066628556910569,0.1361942278953374,0.945985671936759,0.08102189967038605,0.9999186197916667,0.00023017798866748287
SVM,0.97362141172941,0.04352775437043426,1.0,0.0,0.9048725503579662,0.14341175875319612,0.9444056945726055,0.0858774382581795,0.9995736648787312,0.0011443313674171817
RandomForest,0.9611294536579131,0.06321091602176908,1.0,0.0,0.8912788066779922,0.16235847711662174,0.9349216368624262,0.10133913963772571,0.9987042860677557,0.002596005803152032
GradientBoosting,0.9463572656124271,0.07181279094928196,0.9266985001959456,0.10823652062241765,0.8301880144501071,0.2269342984562882,0.8649863823869388,0.1692922843638191,0.9961541523307413,0.005520904223143671
