pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
Static (LogisticRegression),0.993421052631579,0.01860807318911969,1.0,0.0,0.9583333333333333,0.11785113019775793,0.975,0.07071067811865474,1.0,5.93439168722175e-17
Static (RandomForest),0.9693650450672923,0.045083188804711925,1.0,0.0,0.8778781397888605,0.1857153373028674,0.9245970667780734,0.12026656877610244,0.9982912230008494,0.0032528523364398847
Ensemble (LogisticRegression),0.9744662305342007,0.03962919299006756,1.0,0.0,0.9066628556910569,0.1361942278953374,0.945985671936759,0.08102189967038605,0.9999186197916667,0.00023017798866748287
Ensemble (RandomForest),0.9611294536579131,0.06321091602176908,1.0,0.0,0.8912788066779922,0.16235847711662174,0.9349216368624262,0.10133913963772571,0.9987042860677557,0.002596005803152032
LLM (Method B — boolean),0.7292193041468509,0.051132106515599435,0.5383520775994218,0.21105862132092285,0.8555261674351818,0.1614365461027713,0.626912995357167,0.16446358706084632,0.8045807834003887,0.058127190496599396
LLM (Method A — threshold),0.6944180397276046,0.09455390923955521,0.49202889112456805,0.2203899473250671,0.9600046641791045,0.1101394742985911,0.621700824016029,0.20395808205592494,0.8045807834003887,0.058127190496599396
