model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
LogisticRegression,0.993421052631579,0.01860807318911969,1.0,0.0,0.9583333333333333,0.11785113019775793,0.975,0.07071067811865474,1.0,5.93439168722175e-17
SVM,0.99064293187593,0.018192032636004996,0.9990671641791045,0.0026384581387557822,0.954351717024633,0.11655260056591114,0.9725239543025612,0.069865833448049,0.9998340993204708,0.00036041392821096975
RandomForest,0.9693650450672923,0.045083188804711925,1.0,0.0,0.8778781397888605,0.1857153373028674,0.9245970667780734,0.12026656877610244,0.9982912230008494,0.0032528523364398847
GradientBoosting,0.9516204573536643,0.051502624608691504,0.9150231690791463,0.10400451864749266,0.8692081702766654,0.19619243769446928,0.8855798334220892,0.1454443819723076,0.9905441846439802,0.014450801238390043
