held_out_type,n_held_out,static_RF_f1,LLM_B_f1,ensemble_RF_f1,static_RF_recall,LLM_B_recall,ensemble_RF_recall
balance_disorder,20,1.0,0.755,1.0,1.0,1.0,1.0
hidden_state,134,0.996,0.78,0.992,0.993,0.701,0.985
hidden_transfer,12,1.0,0.649,1.0,1.0,1.0,1.0
inheritance_disorder,41,0.877,0.813,0.892,0.78,0.902,0.805
skip_empty_string_literal,9,1.0,0.483,0.875,1.0,0.778,0.778
straw_man,30,1.0,0.771,1.0,1.0,0.9,1.0
type_deduction_overflow,4,0.667,0.381,1.0,0.5,1.0,1.0
uninitialised_struct,32,0.857,0.571,0.72,0.75,0.562,0.562
MEAN,,0.925,0.65,0.935,0.878,0.855,0.891
