model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std
RandomForest,0.9846703296703296,0.01993684597479961,0.9892693673024461,0.009814763846725227,0.9822055137844611,0.030929796028019797,0.9855777857087873,0.019023669703660623,0.9991841583124478,0.0014505949691115654
GradientBoosting,0.9827655677655678,0.019696991160419893,0.985937982147566,0.014354258467450013,0.9822055137844611,0.030929796028019797,0.9838686402815011,0.018762651220174335,0.9959925856307436,0.00738079778033458
LogisticRegression,0.9732051282051282,0.015725285817525084,0.9661154989483739,0.025867848945547008,0.9857769423558898,0.023271270522005116,0.9755128291016278,0.014442645579230726,0.9925020885547202,0.007680020649603662
SVM,0.9674542124542125,0.01743292483971949,0.9587606788609587,0.018678992195121626,0.9822055137844611,0.021870892889964466,0.9702082512178396,0.016002549465572054,0.9972744360902256,0.0016734778881997703
