held_out_type,n_held_out,best_threshold,A_accuracy,A_precision,A_recall,A_f1,A_auc_roc,B_accuracy,B_precision,B_recall,B_f1,B_auc_roc
balance_disorder,20,4,0.5632183908045977,0.14925373134328357,1.0,0.2597402597402597,0.8112033195020747,0.6551724137931034,0.18181818181818182,1.0,0.3076923076923077,0.8112033195020747
hidden_state,134,7,0.6533333333333333,0.5108695652173914,0.7014925373134329,0.5911949685534591,0.7399052455564501,0.6533333333333333,0.5108695652173914,0.7014925373134329,0.5911949685534591,0.7399052455564501
hidden_transfer,12,4,0.549407114624506,0.09523809523809523,1.0,0.17391304347826086,0.8112033195020747,0.6442687747035574,0.11764705882352941,1.0,0.21052631578947367,0.8112033195020747
inheritance_disorder,41,4,0.5957446808510638,0.2645161290322581,1.0,0.41836734693877553,0.7883311405728165,0.6666666666666666,0.29133858267716534,0.9024390243902439,0.44047619047619047,0.7883311405728165
skip_empty_string_literal,9,4,0.544,0.07317073170731707,1.0,0.13636363636363635,0.7591055786076533,0.632,0.07216494845360824,0.7777777777777778,0.1320754716981132,0.7591055786076533
straw_man,30,4,0.5793357933579336,0.20833333333333334,1.0,0.3448275862068966,0.8033886583679115,0.6568265682656826,0.23076923076923078,0.9,0.3673469387755102,0.8033886583679115
type_deduction_overflow,4,4,0.5346938775510204,0.03389830508474576,1.0,0.06557377049180328,0.8112033195020747,0.6326530612244898,0.0425531914893617,1.0,0.08163265306122448,0.8112033195020747
uninitialised_struct,32,4,0.5457875457875457,0.16176470588235295,0.6875,0.2619047619047619,0.6593620331950207,0.6190476190476191,0.16666666666666666,0.5625,0.2571428571428571,0.6593620331950207
